query_image_id,query_image_path,rank,image_id,score,path,caption,cui
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,1,ROCOv2_2023_train_012079,0.945853,data/roco_small/images/ROCOv2_2023_train_012079.png,OPG.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,2,ROCOv2_2023_train_006513,0.943245,data/roco_small/images/ROCOv2_2023_train_006513.png,Initial panoramic radiograph: case  1. Complete impaction and mesiolingual inclination of the mandibular right second primary molar in the mandibular bone.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,3,ROCOv2_2023_train_042101,0.939358,data/roco_small/images/ROCOv2_2023_train_042101.png,Panoramic radiograph.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,4,ROCOv2_2023_train_051477,0.936871,data/roco_small/images/ROCOv2_2023_train_051477.png,X-ray before any intervention.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,5,ROCOv2_2023_train_031033,0.935674,data/roco_small/images/ROCOv2_2023_train_031033.png,The complete anatomical restoring of the fracture.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,6,ROCOv2_2023_train_058354,0.933905,data/roco_small/images/ROCOv2_2023_train_058354.png,Orthopanoramic postoperative view that shows a satisfying healing of the bone defect.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,7,ROCOv2_2023_train_036815,0.931633,data/roco_small/images/ROCOv2_2023_train_036815.png,RMC (arrows) observed bilaterally located close to the mandibular third molar germs in a nine-year-old male patient in panoramic radiography.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,8,ROCOv2_2023_train_045888,0.930839,data/roco_small/images/ROCOv2_2023_train_045888.png,Initial panoramic radiograph.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,9,ROCOv2_2023_train_018896,0.928605,data/roco_small/images/ROCOv2_2023_train_018896.png,Posttreatment orthopantomograph.,"[""C1306645"", ""C0037303""]"
ROCOv2_2023_train_000321,data/roco_small/images/ROCOv2_2023_train_000321.png,10,ROCOv2_2023_train_045340,0.928095,data/roco_small/images/ROCOv2_2023_train_045340.png,Pretreatment panoramic radiograph.,"[""C1306645"", ""C0037303""]"
