rank;image_id;score;caption;cui
1;ROCOv2_2023_train_001118;0.9396130181849003;Normal chest X-ray on admission (22/09/2020);"[""C1306645"", ""C0817096"", ""C1999039""]"
2;ROCOv2_2023_train_000659;0.9119348891079426;Chest x-ray on the day of admission showed mild bilateral patchy airspace opacities, nonspecific but compatible with a reported history of coronavirus disease 2019 (COVID-19) infection (red arrows);"[""C1306645"", ""C0817096"", ""C1996865""]"
3;ROCOv2_2023_train_001518;0.9028945833444595;Intravenous urogram showing a ‘thimble’ bladder;"[""C1306645"", ""C0030797"", ""C1999039""]"
4;ROCOv2_2023_train_002423;0.9015870213508606;A panoramic reconstruction cone-beam computed tomography image of the patient shows the elongated styloid processes bilaterally and the fractured left styloid process (arrow).;"[""C1306645"", ""C0037303""]"
5;ROCOv2_2023_train_000391;0.8937236934900283;Scanogram image in a 61-year-old woman with congenital pseudohorseshoe lung associated with scimitar syndrome. The right hilum is enlarged and dextroposition presents. The cardiac border of the right side is indistinct. Scimitar shaped curvilinear tubular vein is shown on the paracardiac region (arrows). Mediastinum and trachea are displaced to the right. Right pulmonary lobe hypoplasia and structural distortion is visible. Right hemidiaphragm is partially elevated.;"[""C1306645"", ""C0817096""]"
6;ROCOv2_2023_train_000255;0.8925927750766277;Guillain-Barré syndrome: Axial post-contrast T1 MRI of lumbar spine demonstrates diffuse enhancement without enlargement of the ventral and dorsal nerve roots (blue arrows).;"[""C0024485""]"
7;ROCOv2_2023_train_002267;0.8924901388585567;Post-procedure chest radiograph.;"[""C1306645"", ""C0817096"", ""C1996865""]"
8;ROCOv2_2023_train_002302;0.891792068630457;Absence and hypoplasia of the abducens nerve. A one-month-old male with congenital lateral rectus muscle palsy and globe retraction and presenting upshoot and downshoot with certain eye movements, therefore being diagnosed with Duane syndrome. Axial 3D-SSFP MRI sequence showing the right abducens nerve (arrow), whereas the left one is not visible.;"[""C0024485""]"
9;ROCOv2_2023_train_000034;0.8891866520047188;Follow up chest radiograph after 4 weeks showing radiological resolution.;"[""C1306645"", ""C0817096"", ""C1996865""]"
10;ROCOv2_2023_train_000760;0.8874811068177224;Control radiograph of tooth 11 24 months after replantation.;"[""C1306645"", ""C0037303""]"
